PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2019-0182,05/19/2019,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Takedown (no injury),L1,Alchohol and unknown drugs,Yes,White,Male,35,12,0 feet to 1 feet,Female,White,,Small,5'0'' to 5'3'',No,Yes,No,,refuse verbal commands,No
FTN2019-0184,05/19/2019,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,CEW Deployment,L2,Unknown,Yes,White,Male,,7,0 feet to 1 feet,Male,Black,0,Medium,5'7'' to 5'9'',No,No,No,,Battery on Police Officer,No
FTN2019-0185,05/20/2019,FOB - Field Operations Bureau,7th District,Task Force,Task Force A,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,42,14,1 feet to 3 feet,Male,Black,21,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2019-0186,05/21/2019,FOB - Field Operations Bureau,8th District,Narcotics,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Force (Take Down) | Head Strike (No Wep) | Force (Take Down),L2 | L3 | L2,Unknown,Yes | Yes | Yes,White | White | White,Male | Male | Male,32 | 29 | 28,6 | 7 | 5,4 feet to 6 feet,Male,Black,30,Large,6'1'' to 6'3'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2019-0188,05/24/2019,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,CEW Deployment,L2,Mentally unstable,No,White,Female,36,3,1 feet to 3 feet,Male,Black,49,Medium,5'10'' to 6'0'',No,Yes,No,,Resisting Lawful Arrest,No
FTN2019-0189,05/24/2019,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,Alchohol and unknown drugs,Yes,Black,Male,23,4,0 feet to 1 feet,Male,Black,45,Medium,5'7'' to 5'9'',No,Yes,No,,refuse verbal commands,No
FTN2019-0190,05/25/2019,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,,,Force (Take Down),L2,Unknown,Yes,White,Male,33,6,0 feet to 1 feet,Female,Black,23,Small,5'7'' to 5'9'',Yes,Yes,Yes,,Flight from an Officer,Yes
FTN2019-0191,05/26/2019,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,44,12,7 feet to 10 feet,Male,Black,,Medium,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2019-0192,05/26/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Rifle (Pointed),L1,Unknown,Yes,Asian/Pacifi,Male,34,15,11 feet to 14 feet,Male,Black,28,Medium,5'7'' to 5'9'',No,No,Yes,,Tactical Deployments,No
FTN2019-0193,05/30/2019,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,35,6,1 feet to 3 feet,Male,Black,18,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2019-0196,05/31/2019,FOB - Field Operations Bureau,8th District,Narcotics,Narcotics,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (w/injury) | Hands,L2 | L1,Unknown,Yes | No,White | White,Male | Male,29 | 28,7 | 5,1 feet to 3 feet,Male,White,26,Large,> 6'3'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2019-0195,05/31/2019,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Force (Take Down) | Force (Take Down),L2 | L2,None detected,Yes | Yes,White | White,Male | Male,25 | 57,4 | 3,0 feet to 1 feet,Male,Black,25,Large,6'1'' to 6'3'',No,No,Yes,,Resisting Lawful Arrest,No | Yes
FTN2019-0194,05/31/2019,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Unknown Shift Hours,Completed,UOF Justified With Training,Transport,Good,Clear Conditions,Takedown (no injury),L1,Unknown,Yes,Black,Female,36,5,1 feet to 3 feet,Female,Black,29,Small,5'10'' to 6'0'',No,Yes,Yes,,Escape,Yes
FTN2019-0197,06/02/2019,FOB - Field Operations Bureau,7th District,Task Force,Task Force A,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,35,6,15 feet to 18 feet,Male,Black,22,Medium,5'10'' to 6'0'',No,No,Yes,,Flight from an Officer,No
FTN2019-0198,06/03/2019,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Takedown (w/injury) | Hands,L1 | L2 | L1,Alchohol and unknown drugs,Yes | Yes | Yes,White | White | White,Male | Male | Female,35 | 27 | 26,12 | 4 | 3,0 feet to 1 feet,Male,White,33,Large,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,Yes | No | Yes
FTN2019-0199,06/05/2019,FOB - Field Operations Bureau,3rd District,Task Force A,Task Force A,,Between 7am-3pm,Completed,UOF Justified,Traffic Stop,Good,Rainy Conditions - Light,Takedown (no injury),L1,None detected,Yes,Black,Male,40,16,0 feet to 1 feet,Male,Black,45,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2019-0204,06/08/2019,FOB - Field Operations Bureau,2nd District,Narcotics,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands,L1,Unknown,Yes,White,Male,32,5,0 feet to 1 feet,Male,Black,31,Medium,5'4'' to 5'6'',No,No,Yes,,Battery on Police Officer,No
FTN2019-0200,06/09/2019,FOB - Field Operations Bureau,7th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,None detected,Yes,White,Male,31,4,1 feet to 3 feet,Male,Black,26,Medium,6'1'' to 6'3'',No,Yes,Yes,,refuse verbal commands,No
FTN2019-0202,06/09/2019,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Mentally unstable,Yes,White,Male,32,6,7 feet to 10 feet,Male,Black,21,Medium,6'1'' to 6'3'',No,Yes,No,,Other,No
FTN2019-0201,06/10/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Hispanic,Male,37,3,22 feet to 25 feet,Male,Black,16,Small,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2019-0203,06/10/2019,FOB - Field Operations Bureau,8th District,Narcotics,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Force (Escort Tech) | Hands,L1 | L1 | L1,Alchohol,Yes | Yes | Yes,White | Black | White,Male | Male | Male,35 | 51 | 32,12 | 31 | 6,0 feet to 1 feet,Male,,,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2019-0205,06/11/2019,FOB - Field Operations Bureau,2nd District,Task Force,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,,,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown,Yes | Yes,White | White,Male | Male,30 | 31,5 | 4,7 feet to 10 feet,Male,Black,27,Large,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No | No
FTN2019-0207,06/13/2019,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Not Justified,Arresting,Good,Clear Conditions,CEW Deployment,L2,Mentally unstable,Yes,White,Male,31,6,1 feet to 3 feet,Female,Black,23,Medium,5'0'' to 5'3'',Yes,Yes,Yes,,Battery on Police Officer,No
FTN2019-0206,06/13/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Rifle (Pointed) | Firearm (Exhibited),L1 | L1,Unknown,Yes | Yes,Black | Black,Male | Male,30 | 31,12 | 8,1 feet to 3 feet,Male,Black,44,Medium,5'10'' to 6'0'',No,No,Yes,,Tactical Deployments,No | No
FTN2019-0209,06/15/2019,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,None detected | None detected,Yes | Yes | Yes,White | White | White,Male | Male | Male,53 | 24 | 33,14 | 3 | 3,11 feet to 14 feet | 11 feet to 14 feet,Male | Female,Black | White,27 | 26,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,No | No,,refuse verbal commands,No | No | No
FTN2019-0208,06/16/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,Alchohol and unknown drugs,Yes,White,Male,44,17,1 feet to 3 feet,Female,Black,37,Small,5'0'' to 5'3'',No,Yes,No,,Weapon Exhibited,No
FTN2019-0211,06/18/2019,FOB - Field Operations Bureau,4th District,Task Force,B,Regular Working,Between 7am-3pm,Completed,UOF No Reportable Force Used by Officer,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,47,9,7 feet to 10 feet,Male,Black,37,Medium,6'1'' to 6'3'',No,No,Yes,,Other,No
FTN2019-0212,06/18/2019,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,43,13,4 feet to 6 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No
FTN2019-0225,06/18/2019,FOB - Field Operations Bureau,1st District,Bourbon Promenade,,Paid Detail,Between 3pm-11pm,Initial,Pending,Call for Service,Good,Clear Conditions,Force (Escort Tech),L1,None detected,Yes,Black,Male,47,16,0 feet to 1 feet,Female,Black,61,Medium,5'0'' to 5'3'',Yes,No,No,,refuse verbal commands,No
FTN2019-0213,06/19/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,41,14,7 feet to 10 feet,Male,Black,22,Medium,5'10'' to 6'0'',No,No,Yes,,Flight from an Officer,No
FTN2019-0216,06/20/2019,FOB - Field Operations Bureau,6th District,,,,,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,29,5,,Male,Black,20,,,No,No,Yes,,Weapon Exhibited,No
FTN2019-0217,06/22/2019,FOB - Field Operations Bureau,4th District,Street Gang Unit,Squad B,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Traffic Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,52,24,11 feet to 14 feet,Male,Black,25,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2019-0214,06/23/2019,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (w/injury) | Takedown (w/injury),L2 | L2,Unknown,Yes | Yes,White | White,Male | Male,30 | 27,4 | 2,0 feet to 1 feet,Male,Black,26,Large,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2019-0215,06/23/2019,FOB - Field Operations Bureau,1st District,C Platoon,,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,32,4,22 feet to 25 feet,Male,Black,21,Medium,5'7'' to 5'9'',No,No,Yes,,Weapon Exhibited,No
FTN2019-0218,06/24/2019,FOB - Field Operations Bureau,8th District,Workmans Compensation,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment | CEW Deployment,L2 | L2,Mentally unstable,No | Yes,White | Black,Male | Male,35 | 50,12 | 29,4 feet to 6 feet,Female,Black,25,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Officer w/Weapon,No | No
FTN2019-0218,06/24/2019,FOB - Field Operations Bureau,8th District,Workmans Compensation,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment | CEW Deployment,L2 | L2,Mentally unstable,No | Yes,White | Black,Male | Male,35 | 50,12 | 29,4 feet to 6 feet,Female,Black,25,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Officer w/Weapon,No | No
FTN2019-0219,06/26/2019,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Takedown (w/injury),L1 | L2,Unknown,Yes | Yes,Black | Black,Male | Male,30 | 30,5 | 5,0 feet to 1 feet,Female,Black,22,Large,5'4'' to 5'6'',Yes,Yes,Yes,,Battery on Police Officer,Yes | Yes
FTN2019-0220,06/27/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | CEW Exhibited/Laser | Firearm (Exhibited),L1 | L1 | L1,None detected,Yes | Yes | Yes,White | White | White,Male | Male | Male,31 | 36 | 36,5 | 3 | 3,19 feet to 21 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,No,Yes,,Room clearing,No | No | No
FTN2019-0222,06/28/2019,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment | Hands | Other,L2 | L1 | L2,Mentally unstable,No | No | No,Black | White | Black,Male | Male | Male,36 | 35 | 37,13 | 12 | 6,1 feet to 3 feet,Male,Black,25,XLarge,5'7'' to 5'9'',No,Yes,No,,refuse verbal commands,No | No | No
FTN2019-0221,06/28/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown | Unknown,Yes,Asian/Pacifi,Male,34,15,11 feet to 14 feet | 11 feet to 14 feet,Male | Male,Black | Black,30 | 33,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,Yes | Yes,,Tactical Deployments,No
FTN2019-0223,06/29/2019,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,41,13,19 feet to 21 feet,Male,Black,35,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2019-0224,07/01/2019,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Paid Detail,Between 3pm-11pm,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,Hands | Force (Defense Tech) | Takedown (w/injury) | Hands,L1 | L2 | L2 | L1,Unknown | Unknown,No | No | Yes | No,Black | Black | Black | Black,Female | Male | Male | Female,39 | 46 | 46 | 40,16 | 24 | 24 | 20,0 feet to 1 feet | 0 feet to 1 feet,Male | Male,Black | Black,0 | 19,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',Yes | Yes,No | No,Yes | Yes,,Flight from an Officer,No | No | No | No
FTN2019-0224,07/01/2019,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Paid Detail,Between 3pm-11pm,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,Hands | Force (Defense Tech) | Takedown (w/injury) | Hands,L1 | L2 | L2 | L1,Unknown | Unknown,No | No | Yes | No,Black | Black | Black | Black,Female | Male | Male | Female,39 | 46 | 46 | 40,16 | 24 | 24 | 20,0 feet to 1 feet | 0 feet to 1 feet,Male | Male,Black | Black,0 | 19,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',Yes | Yes,No | No,Yes | Yes,,Flight from an Officer,No | No | No | No
FTN2020-0293,10/03/2020,FOB - Field Operations Bureau,1st District,1st District,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Firearm (Exhibited) | Hands,L1 | L1 | L1,Mentally unstable,Yes | No | Yes,White | White | ,Male | Male | Male,33 | 29 | ,6 | 3 | 2,1 feet to 3 feet,Female,Black,26,Large,5'4'' to 5'6'',No,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2020-0294,10/04/2020,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Firearm (Exhibited),L1 | L1,None detected,No | Yes,White | Black,Male | Male,42 | 24,11 | 2,1 feet to 3 feet,Male,Black,47,Large,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2020-0294,10/04/2020,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Firearm (Exhibited),L1 | L1,None detected,No | Yes,White | Black,Male | Male,42 | 24,11 | 2,1 feet to 3 feet,Male,Black,47,Large,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2020-0295,10/05/2020,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Not Justified,Call for Service,Good,Clear Conditions,CEW Deployment | CEW Deployment | CEW Deployment | CEW Deployment,L2 | L2 | L2 | L2,Mentally unstable,No | Yes | Yes | Yes,Black | Black | White | White,Male | Male | Male | Female,36 | 36 | 43 | 41,15 | 15 | 22 | 6,11 feet to 14 feet,Male,Black,60,Small,5'7'' to 5'9'',Yes,Yes,No,,Weapon Exhibited,No | No | No | No
FTN2020-0295,10/05/2020,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Not Justified,Call for Service,Good,Clear Conditions,CEW Deployment | CEW Deployment | CEW Deployment | CEW Deployment,L2 | L2 | L2 | L2,Mentally unstable,No | Yes | Yes | Yes,Black | Black | White | White,Male | Male | Male | Female,36 | 36 | 43 | 41,15 | 15 | 22 | 6,11 feet to 14 feet,Male,Black,60,Small,5'7'' to 5'9'',Yes,Yes,No,,Weapon Exhibited,No | No | No | No
FTN2020-0296,10/06/2020,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,Unknown | Unknown,No | No | Yes | No,Black | Black | Black | White,Male | Male | Male | Male,40 | 40 | 48 | 44,15 | 17 | 24 | 6,11 feet to 14 feet | 11 feet to 14 feet,Male | Male,Black | White, | 0,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,No | No,,refuse verbal commands,No | No | No | No
FTN2020-0296,10/06/2020,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,Unknown | Unknown,No | No | Yes | No,Black | Black | Black | White,Male | Male | Male | Male,40 | 40 | 48 | 44,15 | 17 | 24 | 6,11 feet to 14 feet | 11 feet to 14 feet,Male | Male,Black | White, | 0,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,No | No,,refuse verbal commands,No | No | No | No
FTN2020-0298,10/06/2020,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands,L1,Mentally unstable,Yes,Black,Male,34,2,0 feet to 1 feet,Male,White,22,Medium,6'1'' to 6'3'',No,Yes,No,,refuse verbal commands,No
FTN2020-0300,10/08/2020,FOB - Field Operations Bureau,8th District,C Platoon,patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands,L1,Unknown,Yes,Black,Male,50,23,0 feet to 1 feet,Sex-Unk,Black,0,Small,5'0'' to 5'3'',No,No,No,,refuse verbal commands,No
FTN2020-0299,10/08/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Force (Take Down) | Force (Take Down),L2 | L2,Alchohol,Yes | Yes,White | Black,Male | Female,46 | 36,14 | 5,0 feet to 1 feet,Female,White,28,Large,5'7'' to 5'9'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2020-0301,10/10/2020,FOB - Field Operations Bureau,6th District,K9 Section,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Canine (No Bite),L1 | L2,None detected,No | Yes,White | White,Male | Male,61 | 61,14 | 14,1 feet to 3 feet,Male,Black,37,Medium,5'4'' to 5'6'',No,No,Yes,,Flight from an Officer,No | No
FTN2020-0302,10/11/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Hands | Takedown (no injury) | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1 | L1,None detected,Yes | Yes | Yes | Yes,Black | Black | Black | Black,Male | Male | Male | Male,45 | 34 |  | ,17 | 5 | 2 | 2,0 feet to 1 feet,Male,Black,28,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No | No | No | No
FTN2020-0304,10/13/2020,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,31,8,1 feet to 3 feet,Male,Black,24,Small,6'1'' to 6'3'',No,No,Yes,,Weapon Exhibited,No
FTN2020-0303,10/13/2020,FOB - Field Operations Bureau,Special Operations Division,Day Watch,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,None detected | None detected | None detected,Yes,Race-Unknown,Male,32,6,11 feet to 14 feet | 11 feet to 14 feet | 11 feet to 14 feet,Female | Male | Male,Black | Black | Black,59 | 14 | 57,Medium | Medium | Medium,5'0'' to 5'3'' | 5'0'' to 5'3'' | 5'0'' to 5'3'',No | No | No,No | No | No,Yes | Yes | Yes,,Tactical Deployments,No
FTN2020-0305,10/18/2020,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,CEW Deployment,L2,None detected,Yes,Black,Male,39,8,4 feet to 6 feet,Male,Black,39,Medium,5'7'' to 5'9'',Yes,No,Yes,,Flight from an Officer,No
FTN2020-0306,10/19/2020,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,Black | Black,Male | Male,64 | 48,44 | 24,1 feet to 3 feet,Male,Black,38,Large,5'10'' to 6'0'',No,No,Yes,,Other,No | No
FTN2020-0307,10/19/2020,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,CEW Deployment,L2,Alchohol and unknown drugs,No,White,Male,32,6,11 feet to 14 feet,Male,Black,42,XLarge,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2020-0308,10/21/2020,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,CEW Deployment | Hands,L2 | L1,Mentally unstable,Yes | No,Black | Black,Male | Female,32 | 33,6 | 5,1 feet to 3 feet,Female,Black,29,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2020-0310,10/22/2020,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Hands | Hands,L1 | L1,Alchohol,Yes | Yes,White | Hispanic,Male | Male,44 | 43,23 | 5,0 feet to 1 feet,Male,White,53,Large,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2020-0309,10/22/2020,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Shotgun (Pointed) | Firearm (Exhibited),L1 | L1,None detected | None detected | None detected,Yes | Yes,Hispanic | Black,Male | Male,55 | 33,14 | 12,11 feet to 14 feet | 11 feet to 14 feet | 11 feet to 14 feet,Male | Male | Female,Black | Black | Black,16 | 21 | 21,Medium | Medium | Medium,5'0'' to 5'3'' | 5'0'' to 5'3'' | 5'0'' to 5'3'',No | No | No,No | No | No,Yes | Yes | Yes,,Weapon Exhibited,No | No
FTN2021-0131,10/22/2020,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Rainy Conditions - Light,- Hands (with injury) | Hands,L2 | L1,Unknown,Yes | Yes,Black | Black,Male | Female,32 | 32,6 | 2,0 feet to 1 feet,Male,Black,49,Medium,6'1'' to 6'3'',Yes,No,No,,refuse verbal commands,No | No
